dname,無糖甜度(0~10),總甜度,熱品/冷品,主要成分,次要成分1,次要成分2,次要成分3,水果/成分,溫du
仙草凍奶茶,2,3,熱/冷,奶茶,,仙草凍,,,偏冷
仙草甘茶,0,1,熱/冷,,仙草茶,,,,偏冷
仙草蜜,10,3,冷,蜜茶,,仙草凍,,,偏冷
仙草鮮奶凍,5,2,熱/冷,,鮮奶,仙草凍,,,偏冷
冬瓜仙草茶,3,2,熱/冷,冬瓜茶,仙草茶,,,,偏冷
冬瓜檸檬,10,2,冷,冬瓜茶,檸檬原汁,,,水果類,偏冷
冬瓜茶,10,2,熱/冷,冬瓜茶,,,,,偏冷
冬瓜調茶,3,2,熱/冷,冬瓜茶,,茗茶,,,偏冷
咖啡凍奶茶,2,3,熱/冷,奶茶,咖啡凍,,,,偏冷
奶香青茶,0,2,熱/冷,青茶,奶精,,,,偏冷
巧克力奶茶,0,3,熱/冷,,奶精,,,可可粉,偏熱
布丁奶茶,2,3,熱/冷,奶茶,,布丁,,,偏冷
布丁鮮奶凍,6,3,熱/冷,,鮮奶,布丁,,,偏冷
摩卡咖啡,0,2,熱/冷,咖啡,,,,可可粉,偏熱
柳橙調茶,2,2,冷,柳橙糖漿,,茗茶,,水果類,偏冷
梅子調茶,0,2,熱/冷,,,茗茶,梅子,,偏冷
椰果奶茶,1,3,熱/冷,奶茶,,椰果,,,偏冷
榛果咖啡,5,2,熱/冷,咖啡,榛果糖漿,,,,偏熱
榛果奶茶,5,3,熱/冷,奶茶,榛果糖漿,,,,偏熱
榛果巧克力,5,3,熱/冷,,榛果糖漿,,,可可粉,偏熱
檸檬多多,3,2,冷,,檸檬原汁,,養樂多,水果類,偏冷
檸檬蘆薈,0,1,冷,,檸檬原汁,蘆薈果粒,,水果類,偏冷
檸檬調茶,0,1,冷,,檸檬原汁,茗茶,,水果類,偏冷
檸檬鮮果汁,0,1,冷,,檸檬原汁,,,水果類,偏冷
海尼根綠茶,6,1,冷,綠茶,海尼根,,,,偏冷
焦糖咖啡,6,3,熱/冷,咖啡,焦糖糖漿,,,,偏熱
焦糖奶茶,6,3,熱/冷,奶茶,焦糖糖漿,,,,偏熱
焦糖巧克力,6,3,熱/冷,,焦糖糖漿,,,可可粉,偏熱
特調咖啡,0,2,熱/冷,咖啡,奶精,,,,偏熱
珍珠奶茶,1,3,熱/冷,奶茶,珍珠,,,,偏冷
珍珠蜜,10,3,冷,蜜茶,珍珠,,,,偏冷
百香QQ,10,3,冷,百香果糖漿,珍珠,椰果,百香顆粒,水果類,偏冷
百香多多,8,2,冷,百香果糖漿,,,養樂多,水果類,偏冷
百香調茶,6,1,冷,百香果糖漿,,茗茶,百香顆粒,水果類,偏冷
百香鮮果汁,5,1,冷,百香果糖漿,,,百香顆粒,水果類,偏冷
碳焙烏龍奶,0,3,熱/冷,烏龍綠茶,奶精,,,,偏冷
碳焙烏龍綠,0,1,熱/冷,烏龍綠茶,,,,,偏冷
綠茶多多,6,2,冷,綠茶,,,養樂多,,偏冷
芋香奶茶,0,3,熱/冷,芋香粉,奶精,,,,偏冷
茉香奶綠,0,2,熱/冷,綠茶,奶精,,,,偏冷
茉香綠茶,0,1,熱/冷,綠茶,,,,,偏冷
草莓QQ,10,2,冷,草莓果醬,珍珠,椰果,,水果類,偏冷
草莓奶茶,6,3,熱/冷,草莓果醬,奶精,,,水果類,偏冷
草莓歐蕾,6,3,熱/冷,草莓果醬,鮮奶,,,水果類,偏冷
草莓調茶,6,2,冷,草莓果醬,,茗茶,,水果類,偏冷
荔枝蘆薈,5,1,冷,荔枝糖漿,,蘆薈果粒,,水果類,偏冷
